text,link
Грейт-Смоки-Маунтинс (национальный парк),https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%B9%D1%82-%D0%A1%D0%BC%D0%BE%D0%BA%D0%B8-%D0%9C%D0%B0%D1%83%D0%BD%D1%82%D0%B8%D0%BD%D1%81_(%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BF%D0%B0%D1%80%D0%BA)
Мемориально-парковый комплекс героев Первой мировой войны,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BC%D0%BE%D1%80%D0%B8%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE-%D0%BF%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D1%8B%D0%B9_%D0%BA%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81_%D0%B3%D0%B5%D1%80%D0%BE%D0%B5%D0%B2_%D0%9F%D0%B5%D1%80%D0%B2%D0%BE%D0%B9_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D0%B9_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B
Минахаса,https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D0%B0%D1%85%D0%B0%D1%81%D0%B0
Сонково (станция),https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BD%D0%BA%D0%BE%D0%B2%D0%BE_(%D1%81%D1%82%D0%B0%D0%BD%D1%86%D0%B8%D1%8F)
Гигантская рябь течения,https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%B3%D0%B0%D0%BD%D1%82%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D1%8F%D0%B1%D1%8C_%D1%82%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D1%8F
Ледоём,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B4%D0%BE%D1%91%D0%BC
Народы Филиппин,https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D0%BE%D0%B4%D1%8B_%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%D0%BF%D0%B8%D0%BD
Лезгины в Азербайджане,https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B7%D0%B3%D0%B8%D0%BD%D1%8B_%D0%B2_%D0%90%D0%B7%D0%B5%D1%80%D0%B1%D0%B0%D0%B9%D0%B4%D0%B6%D0%B0%D0%BD%D0%B5
Александрийский погром (38 год),https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D0%B3%D1%80%D0%BE%D0%BC_(38_%D0%B3%D0%BE%D0%B4)
Damnatio ad bestias,https://ru.wikipedia.org/wiki/Damnatio_ad_bestias
Битва при Марафоне,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%9C%D0%B0%D1%80%D0%B0%D1%84%D0%BE%D0%BD%D0%B5
Битва при Платеях,https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%BF%D1%80%D0%B8_%D0%9F%D0%BB%D0%B0%D1%82%D0%B5%D1%8F%D1%85
Брак в Древнем Риме,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D0%BA_%D0%B2_%D0%94%D1%80%D0%B5%D0%B2%D0%BD%D0%B5%D0%BC_%D0%A0%D0%B8%D0%BC%D0%B5
Бубастис,https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%B1%D0%B0%D1%81%D1%82%D0%B8%D1%81
Восстание Спартака,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D0%B5_%D0%A1%D0%BF%D0%B0%D1%80%D1%82%D0%B0%D0%BA%D0%B0
Галльская война,https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BB%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
Гробница Тутанхамона,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B1%D0%BD%D0%B8%D1%86%D0%B0_%D0%A2%D1%83%D1%82%D0%B0%D0%BD%D1%85%D0%B0%D0%BC%D0%BE%D0%BD%D0%B0
Заговор Катилины,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%9A%D0%B0%D1%82%D0%B8%D0%BB%D0%B8%D0%BD%D1%8B
Законы Хаммурапи,https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%D1%8B_%D0%A5%D0%B0%D0%BC%D0%BC%D1%83%D1%80%D0%B0%D0%BF%D0%B8
Инсула,https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%83%D0%BB%D0%B0
Моизм,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%B8%D0%B7%D0%BC
Неаполь Скифский,https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B0%D0%BF%D0%BE%D0%BB%D1%8C_%D0%A1%D0%BA%D0%B8%D1%84%D1%81%D0%BA%D0%B8%D0%B9
Остракизм,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%B0%D0%BA%D0%B8%D0%B7%D0%BC
Папирус,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BF%D0%B8%D1%80%D1%83%D1%81
Персидский поход Александра Севера,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D1%81%D0%B8%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D0%BE%D1%85%D0%BE%D0%B4_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%B0
Религия Урарту,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%BB%D0%B8%D0%B3%D0%B8%D1%8F_%D0%A3%D1%80%D0%B0%D1%80%D1%82%D1%83
Римско-персидские войны,https://ru.wikipedia.org/wiki/%D0%A0%D0%B8%D0%BC%D1%81%D0%BA%D0%BE-%D0%BF%D0%B5%D1%80%D1%81%D0%B8%D0%B4%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B
Серторианская война,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D1%82%D0%BE%D1%80%D0%B8%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
Сражение при Эгоспотамах,https://ru.wikipedia.org/wiki/%D0%A1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BF%D1%80%D0%B8_%D0%AD%D0%B3%D0%BE%D1%81%D0%BF%D0%BE%D1%82%D0%B0%D0%BC%D0%B0%D1%85
Фестский диск,https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D1%81%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%B8%D1%81%D0%BA
Фофановский могильник,https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D1%84%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%BE%D0%B3%D0%B8%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA
Эребуни,https://ru.wikipedia.org/wiki/%D0%AD%D1%80%D0%B5%D0%B1%D1%83%D0%BD%D0%B8
Артукогуллары,https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D1%83%D0%BA%D0%BE%D0%B3%D1%83%D0%BB%D0%BB%D0%B0%D1%80%D1%8B
Булгарский улус,https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D1%83%D0%BB%D1%83%D1%81
Восстание тюшенов,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D0%B5_%D1%82%D1%8E%D1%88%D0%B5%D0%BD%D0%BE%D0%B2
Гамельнский крысолов,https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D1%8B%D1%81%D0%BE%D0%BB%D0%BE%D0%B2
Искусство Тямпы,https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2%D0%BE_%D0%A2%D1%8F%D0%BC%D0%BF%D1%8B
Кипрская война,https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BF%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
Общество Тямпы,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%A2%D1%8F%D0%BC%D0%BF%D1%8B
Осада Орлеана,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%B0%D0%B4%D0%B0_%D0%9E%D1%80%D0%BB%D0%B5%D0%B0%D0%BD%D0%B0
Осада Парижа,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%B0%D0%B4%D0%B0_%D0%9F%D0%B0%D1%80%D0%B8%D0%B6%D0%B0_(1429)
Осада Салоник (1422—1430),https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%B0%D0%B4%D0%B0_%D0%A1%D0%B0%D0%BB%D0%BE%D0%BD%D0%B8%D0%BA_(1422%E2%80%941430)
Первый оригенистский спор,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D1%8B%D0%B9_%D0%BE%D1%80%D0%B8%D0%B3%D0%B5%D0%BD%D0%B8%D1%81%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BF%D0%BE%D1%80
Политическое устройство Тямпы,https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B8%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B5_%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE_%D0%A2%D1%8F%D0%BC%D0%BF%D1%8B
Преступность и правосудие в средневековом Львове,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%B8_%D0%BF%D1%80%D0%B0%D0%B2%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D0%B5_%D0%B2_%D1%81%D1%80%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%B5%D0%BA%D0%BE%D0%B2%D0%BE%D0%BC_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B5
Путешествия Чжэн Хэ,https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D1%8F_%D0%A7%D0%B6%D1%8D%D0%BD_%D0%A5%D1%8D
Романский меч,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%87
Средневековая историография,https://ru.wikipedia.org/wiki/%D0%A1%D1%80%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%B5%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F
Чёрная смерть,https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D1%8C
